medcodeid,allcancer_term
288821018,"Malignant neoplasm of upper lobe, bronchus or lung NOS"
288822013,"Malignant neoplasm of middle lobe, bronchus or lung"
288823015,Malignant neoplasm of middle lobe bronchus
288824014,Malignant neoplasm of middle lobe of lung
288825010,"Malignant neoplasm of middle lobe, bronchus or lung NOS"
288826011,"Malignant neoplasm of lower lobe, bronchus or lung"
288827019,Malignant neoplasm of lower lobe bronchus
288828012,Malignant neoplasm of lower lobe of lung
288829016,"Malignant neoplasm of lower lobe, bronchus or lung NOS"
723301000006110,Malignant neoplasm of overlapping lesion of bronchus and lung
103180017,Mesothelial neoplasm
288832018,Malignant neoplasm of other sites of bronchus or lung
403689019,Malignant tumour of lung
733371000006119,Lung cancer
723001000006113,Malignant neoplasm of pleura
155447014,Malignant neoplasm of parietal pleura
705211000006111,Malignant mesothelioma of pleura
288839010,Malignant neoplasm of other specified pleura
288840012,Malignant tumour of pleura
288841011,"Malignant neoplasm of thymus, heart and mediastinum"
721271000006114,Malignant neoplasm of thymus
725151000006110,Malignant neoplasm of heart
726071000006111,Malignant neoplasm of endocardium
724051000006110,Malignant neoplasm of myocardium
155459013,Malignant neoplasm of pericardium
173941016,Mesothelioma of pericardium
288847010,Malignant tumour of heart
155078019,Malignant neoplasm of anterior mediastinum
155473016,Malignant neoplasm of posterior mediastinum
724671000006113,"Malignant neoplasm of mediastinum, part unspecified"
729521000006112,"Malig neop of other site of heart, thymus and mediastinum"
288852017,"Malignant neoplasm of heart, thymus and mediastinum NOS"
730001000006117,"Malignant neoplasm, overlapping lesion of heart, mediastinum and pleura"
720581000006118,Primary malignant neoplasm of intrathoracic organs
729601000006118,Malig neop other/ill-defined sites resp/intrathoracic organs
729551000006115,"Malig neop of upper respiratory tract, part unspecified"
288857011,Malignant neoplasm of other site of respiratory tract
288858018,Malignant neoplasm of respiratory system
729331000006116,"Malignant neoplasm of bone, connective tissue, skin and breast"
380094018,"Carcinoma of bone, connective tissue, skin and breast"
380093012,Sarcoma of bone and connective tissue
403691010,Malignant neoplasm of bone and articular cartilage
552511000006110,Chondroma
40641000006114,Osteoma
288869015,Malignant neoplasm of bones of skull and face
155228014,Malignant neoplasm of ethmoid bone
155259011,Malignant neoplasm of frontal bone
288872010,Malignant neoplasm of malar bone
155402013,Malignant neoplasm of nasal bone
155421017,Malignant neoplasm of occipital bone
288875012,Malignant neoplasm of orbital bone
155444019,Malignant neoplasm of parietal bone
155582012,Malignant neoplasm of sphenoid bone
155607014,Malignant neoplasm of temporal bone
155681013,Malignant neoplasm of zygomatic bone
155370019,Malignant neoplasm of maxilla
2475564017,Malignant neoplasm of turbinate
155677013,Malignant neoplasm of vomer
288883018,Malignant neoplasm of bones of skull and face NOS
155368011,Malignant neoplasm of mandible
720341000006115,Malignant neoplasm of vertebral column
288885013,Malignant neoplasm of cervical vertebra
288886014,Malignant neoplasm of thoracic vertebra
288887017,Malignant neoplasm of lumbar vertebra
288888010,Malignant neoplasm of vertebral column NOS
288889019,"Malignant neoplasm of ribs, sternum and clavicle"
155495017,Malignant neoplasm of rib
155592016,Malignant neoplasm of sternum
155191015,Malignant neoplasm of clavicle
288894019,Malignant neoplasm of costal cartilage
726631000006118,Malignant neoplasm of costo-vertebral joint
288896017,Malignant neoplasm of xiphoid process
288897014,"Malignant neoplasm of rib, sternum and clavicle NOS"
288898016,Malignant neoplasm of scapula and long bones of upper arm
155503017,Malignant neoplasm of scapula
288901015,Malignant neoplasm of humerus
